MPI Transpose,MPI CheckSym,MPI Block Transpose,Serial Transpose,Serial CheckSym,Block Transpose,N,Process
1.95503e-06,1.27792e-06,5.96046e-06,2.00272e-07,4.673e-07,1.81198e-07,16,1
3.64304e-06,2.04086e-06,9.2411e-06,7.43866e-07,1.98364e-06,6.00815e-07,32,1
1.02806e-05,4.62532e-06,2.55871e-05,7.89642e-06,8.06808e-06,2.6226e-06,64,1
2.8286e-05,8.33511e-06,8.32367e-05,5.13649e-05,1.90163e-05,9.94682e-06,128,1
0.000245647,4.33159e-05,0.000521412,0.000190315,6.9828e-05,2.82574e-05,256,1
0.00174129,0.00033885,0.00257212,0.00167194,0.00079999,9.54056e-05,512,1
0.00809111,0.00171203,0.0133756,0.00676121,0.00417781,0.000388632,1024,1
0.0606211,0.0157321,0.082295,0.0344755,0.0391576,0.00159174,2048,1
0.262703,0.0857922,0.380981,0.187373,0.166467,0.00643181,4096,1
3.31402e-05,2.90871e-06,2.95639e-06,1.52588e-07,3.05176e-07,1.33514e-07,16,2
6.12926e-05,4.41551e-06,3.4523e-06,5.81741e-07,1.23978e-06,4.29153e-07,32,2
2.93446e-05,9.92775e-06,5.55038e-06,5.94139e-06,6.19888e-06,2.02179e-06,64,2
6.95515e-05,2.93827e-05,6.54221e-06,7.78675e-05,2.86198e-05,1.41335e-05,128,2
0.0001863,8.9817e-05,6.39915e-06,0.000204058,7.7219e-05,3.12519e-05,256,2
0.00102383,0.000554876,6.22749e-06,0.00143533,0.00085721,9.75895e-05,512,2
0.00786881,0.00446754,9.37462e-06,0.00602886,0.00366724,0.000388727,1024,2
0.0281422,0.0200131,1.28841e-05,0.0341723,0.0354962,0.00156331,2048,2
0.177041,0.0916601,1.61457e-05,0.191077,0.169675,0.00659663,4096,2
4.23813e-05,6.64711e-06,9.11713e-06,1.52588e-07,3.91006e-07,1.43051e-07,16,4
5.07164e-05,1.1282e-05,9.94682e-06,6.48499e-07,1.43051e-06,4.673e-07,32,4
0.000105247,1.61934e-05,1.77765e-05,6.60896e-06,7.24792e-06,2.2316e-06,64,4
0.000119314,4.09412e-05,4.29344e-05,5.82027e-05,2.12097e-05,1.091e-05,128,4
0.00049468,0.000276985,0.000301037,0.000190554,7.41386e-05,2.98882e-05,256,4
0.00115584,0.000738068,0.000698729,0.00119347,0.000850716,9.65595e-05,512,4
0.00604533,0.00462873,0.00434525,0.00699382,0.00367791,0.000388107,1024,4
